strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
SouthAfrica/NHLS-UCT-GS-3556-KRISP/2020	2020-11-19		B.1.351	OM739154	7.00	20H (Beta, V2)	Older	0.29	202047	Africa		Homo sapiens	South Africa	South Africa		Viana et al B				
SouthAfrica/NHLS-UCT-GS-B322/2021	2021-03-08		B.1.351	OM765345	8.00	20H (Beta, V2)	Older	0.31	202110	Africa		Homo sapiens	South Africa	South Africa		Viana et al C				
SouthAfrica/NHLS-UCT-GS-9436/2021	2021-01-02		B.1.351	OM739556	7.00	20H (Beta, V2)	Older	0.29	202053	Africa		Homo sapiens	South Africa	South Africa		Viana et al D				
MWI/MLW001039/2021	2021-01-12		B.1.351	ON099778	7.00	20H (Beta, V2)	Older	0.40	202102	Africa		Homo sapiens	Malawi	Malawi		Feasey et al A				
PHL/210330-1/2021	2021-03-30		B.1.351	OL989089	8.00	20H (Beta, V2)	Older	0.30	202113	Asia		Homo sapiens	Philippines	Philippines		Zhao et al A				
HongKong/HKPU-00175/2021	2021-02-15		B.1.351	MZ266524	8.00	20H (Beta, V2)	Older	0.35	202107	Asia		Homo sapiens	Hong Kong	Hong Kong		Siu et al E				
HongKong/HKPU-00186/2021	2021-05-07		B.1.351	MZ298846	8.00	20H (Beta, V2)	Older	0.35	202118	Asia		Homo sapiens	Hong Kong	Hong Kong		Cheng et al B				
PHL/COVID-74873/2021	2021-07-03		B.1.351	OL629470	8.00	20H (Beta, V2)	Older	0.35	202126	Asia		Homo sapiens	Philippines	Philippines		Velasco et al B				
England/CAMC-13A59C0/2021	2021-03-07		B.1.351	OU087565	8.00	20H (Beta, V2)	Older	0.35	202110	Europe		Homo sapiens	United Kingdom	England		Howes et al		Lighthouse Lab in Cambridge	Wellcome Sanger Institute	
Pakistan/UHS2-Pak-123/2021	2021-06-01		B.1.351	OU603867	7.00	20H (Beta, V2)	Older	0.31	202122	Asia		Homo sapiens	Pakistan	Pakistan		Tiwari et al A		University of Health Sciences	Quadram Institute Bioscience	
FIN/TKU-1/2021	2021-03-14		B.1.351	MW845378	9.00	20H (Beta, V2)	Older	0.36	202111	Europe		Homo sapiens	Finland	Finland		Gunell et al				
TUN/TUN-202129100/2021	2021-04-24		B.1.351	MZ227579	8.00	20H (Beta, V2)	Older	0.31	202116	Africa		Homo sapiens	Tunisia	Tunisia		Trabelsi et al A				
SouthAfrica/NHLS-UCT-GS-A908/2021	2021-02-11		B.1.351	OM739740	7.00	20H (Beta, V2)	Older	0.32	202106	Africa		Homo sapiens	South Africa	South Africa		Viana et al E				
SouthAfrica/NHLS-UCT-GP-L405/2021	2021-05-20		B.1.351	OM725082	7.00	20H (Beta, V2)	Older	0.29	202120	Africa		Homo sapiens	South Africa	South Africa		Tegally et al A				
SouthAfrica/NHLS-UCT-GS-B261/2021	2021-02-22		B.1.351	OM765337	7.00	20H (Beta, V2)	Older	0.33	202108	Africa		Homo sapiens	South Africa	South Africa		Viana et al F				
USA/SC-COVID21-0299/2021	2021-02-08		B.1.351	MW748112	8.00	20H (Beta, V2)	Older	0.32	202106	North America		Homo sapiens	USA	South Carolina		Flores et al E				
SouthAfrica/NHLS-UCT-GS-B245/2021	2021-03-02		B.1.351	OM765323	7.00	20H (Beta, V2)	Older	0.32	202109	Africa		Homo sapiens	South Africa	South Africa		Viana et al G				
SouthAfrica/NHLS-UCT-GS-9475/2021	2021-01-04		B.1.351	OM739563	7.00	20H (Beta, V2)	Older	0.33	202101	Africa		Homo sapiens	South Africa	South Africa		Viana et al H				
SouthAfrica/NHLS-UCT-GS-B231/2021	2021-02-24		B.1.351	OM765310	8.00	20H (Beta, V2)	Older	0.31	202108	Africa		Homo sapiens	South Africa	South Africa		Viana et al I				
SouthAfrica/NHLS-UCT-GS-7980/2020	2020-12-15		B.1.351	OM739372	7.00	20H (Beta, V2)	Older	0.32	202051	Africa		Homo sapiens	South Africa	South Africa		Viana et al J				
SouthAfrica/NHLS-UCT-GS-9260/2020	2020-12-30		B.1.351	ON322655	7.00	20H (Beta, V2)	Older	0.32	202053	Africa		Homo sapiens	South Africa	South Africa		Viana et al K		2 Military Hospital wc MAA	University of Cape Town and National Health Laboratory Service	
SouthAfrica/NHLS-UCT-GS-C439/2021	2021-06-15		B.1.351	OM765614	7.00	20H (Beta, V2)	Older	0.34	202124	Africa		Homo sapiens	South Africa	South Africa		Viana et al L				
MWI/MLW001015/2020	2020-12-23		B.1.351	ON099877	7.00	20H (Beta, V2)	Older	0.32	202052	Africa		Homo sapiens	Malawi	Malawi		Feasey et al B				
SouthAfrica/NHLS-UCT-GS-9536/2021	2021-01-06		B.1.351	ON322656	7.00	20H (Beta, V2)	Older	0.32	202101	Africa		Homo sapiens	South Africa	South Africa		Viana et al M		Groote Schuur Hospital wc GSH	University of Cape Town and National Health Laboratory Service	
MWI/MLW001062/2021	2021-01-12		B.1.351	ON099898	7.00	20H (Beta, V2)	Older	0.32	202102	Africa		Homo sapiens	Malawi	Malawi		Feasey et al C				
SouthAfrica/NHLS-UCT-GS-AE94/2021	2021-11-04		B.1.351	OM739879	10.00	20H (Beta, V2)	Older	0.42	202144	Africa		Homo sapiens	South Africa	South Africa		Viana et al N				
NZL/21MV0514/2021	2021-06-15		B.1.351	OK433427	7.00	20H (Beta, V2)	Older	0.38	202124	Oceania		Homo sapiens	New Zealand	New Zealand		Ren et al AF		Middlemore Hospital	Institute of Environmental Science and Research	
USA/MS-CDC-2-4513265/2021	2021-05-08		B.1.351	MZ451708	7.00	20H (Beta, V2)	Older	0.32	202118	North America		Homo sapiens	USA	Mississippi		Sheth et al J				
USA/GU-CDC-2-4611169/2021	2021-06-10		B.1.351	MZ780670	7.00	20H (Beta, V2)	Older	0.32	202123	North America		Homo sapiens	USA	Guam		Sheth et al K				
NLD/EMC-Beta-1/2021	2021-01-20		B.1.351	OM286905	8.00	20H (Beta, V2)	Older	0.32	202103	Europe		Homo sapiens	Netherlands	Netherlands		GeurtsvanKessel et al A				
SYC/SS458/2021	2021-04-25		B.1.351	OK377356	8.00	20H (Beta, V2)	Older	0.35	202117	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al I				
SYC/SS478/2021	2021-05-20		B.1.351	OK377372	8.00	20H (Beta, V2)	Older	0.35	202120	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al J				
SYC/G40372/2021	2021-02-10		B.1.351	OK377353	8.00	20H (Beta, V2)	Older	0.34	202106	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al K				
SYC/SS459/2021	2021-04-12		B.1.351	OK377354	9.00	20H (Beta, V2)	Older	0.33	202115	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al L				
SYC/G38723/2021	2021-02-05		B.1.351	OK377351	8.00	20H (Beta, V2)	Older	0.34	202105	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al M				
SYC/G38725/2021	2021-02-05		B.1.351	OK377352	8.00	20H (Beta, V2)	Older	0.34	202105	Africa		Homo sapiens	Seychelles	Seychelles		Githinji et al N				
SouthAfrica/NHLS-UCT-GS-8668/2020	2020-12-25		B.1.351	OM739460	8.00	20H (Beta, V2)	Older	0.35	202052	Africa		Homo sapiens	South Africa	South Africa		Viana et al O				
MWI/MLW001202/2021	2021-02-08		B.1.351	ON099801	8.00	20H (Beta, V2)	Older	0.35	202106	Africa		Homo sapiens	Malawi	Malawi		Feasey et al D				
SouthAfrica/NHLS-UCT-GP-6171/2021	2021-03-08		B.1.351	OM720888	8.00	20H (Beta, V2)	Older	0.35	202110	Africa		Homo sapiens	South Africa	South Africa		Tegally et al B				
DJI/NAMRU3_A201/2021	2021-05-07		B.1.351	OK018238	8.00	20H (Beta, V2)	Older	0.39	202118	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al M				
DJI/NAMRU3_E294/2021	2021-03-19		B.1.351	MZ970754	8.00	20H (Beta, V2)	Older	0.39	202111	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al N				
DJI/NAMRU3_SOTF_EA162/2021	2021-04-03		B.1.351	OK018328	8.00	20H (Beta, V2)	Older	0.39	202113	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al O				
DJI/NAMRU3_E473/2021	2021-03-23		B.1.351	OK018280	8.00	20H (Beta, V2)	Older	0.39	202112	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al P				
DJI/NAMRU3_E618/2021	2021-03-27		B.1.351	MZ394608	8.00	20H (Beta, V2)	Older	0.39	202112	Africa		Homo sapiens	Djibouti	Camp Lemonnier		Arnold et al Q				
DJI/NAMRU3_F55/2021	2021-04-07		B.1.351	MZ394622	8.00	20H (Beta, V2)	Older	0.39	202114	Africa		Homo sapiens	Djibouti	Camp Lemonnier		Arnold et al R				
DJI/NAMRU3_F102/2021	2021-04-06		B.1.351	MZ394617	9.00	20H (Beta, V2)	Older	0.42	202114	Africa		Homo sapiens	Djibouti	Camp Lemonnier		Arnold et al S				
MYS/NCOV25995/2021	2021-03-26		B.1.351	OM062518	8.00	20H (Beta, V2)	Older	0.34	202112	Asia		Homo sapiens	Malaysia	Malaysia		Chan et al A				
MYS/NCOV2755/2021	2021-05-05		B.1.351	OM062522	8.00	20H (Beta, V2)	Older	0.40	202118	Asia		Homo sapiens	Malaysia	Malaysia		Chan et al B				
IRL/AIIDV1752/2021	2021-02-24		B.1.351	ON350868	10.00	20H (Beta, V2)	Older	0.35	202108	Europe		Homo sapiens	Ireland	Dublin		O Reilly et al A				
SouthAfrica/NHLS-UCT-GS-B530/2021	2021-04-09		B.1.351	OM765411	8.00	20H (Beta, V2)	Older	0.33	202114	Africa		Homo sapiens	South Africa	South Africa		Viana et al P				
SouthAfrica/NHLS-UCT-GS-B542/2021	2021-04-07		B.1.351	OM765416	8.00	20H (Beta, V2)	Older	0.33	202114	Africa		Homo sapiens	South Africa	South Africa		Viana et al Q				
SOM/NAMRU3_Mog_42/2021	2021-02-28		B.1.351	OK018331	8.00	20H (Beta, V2)	Older	0.33	202109	Africa		Homo sapiens	Somalia	Somalia		Arnold et al T				
TUN/TUN-202129459/2021	2021-04-26		B.1.351.2	MZ227558	8.00	20H (Beta, V2)	Older	0.35	202117	Africa		Homo sapiens	Tunisia	Tunisia		Trabelsi et al B				
BGD/ideSHi-IR-33/2021	2021-04-03		B.1.351.3	MZ413828	8.00	20H (Beta, V2)	Older	0.36	202113	Asia		Homo sapiens	Bangladesh	Dhaka		Afrad et al A				
BGD/BCSIR-JU-03/2021	2021-03-21		B.1.351.3	MZ562478	9.00	20H (Beta, V2)	Older	0.39	202112	Asia		Homo sapiens	Bangladesh	Dhaka		Adnan et al				
TWN/CGMH-CGU-59/2021	2021-03-30		B.1.351.3	MZ277392	9.00	20H (Beta, V2)	Older	0.39	202113	Asia		Homo sapiens	Taiwan	Taiwan		Tsao et al F				
SouthAfrica/NHLS-UCT-GP-6725/2021	2021-06-10		B.1.351	OM721070	8.00	20H (Beta, V2)	Older	0.35	202123	Africa		Homo sapiens	South Africa	South Africa		Tegally et al C				
IND/GBRC585b/2021	2021-02-02		B.1.351	MZ317892	8.00	20H (Beta, V2)	Older	0.35	202105	Asia		Homo sapiens	India	India		Raval et al A				
KEN/C87957/2021	2021-03-19		B.1.351	OL914755	7.00	20H (Beta, V2)	Older	0.23	202111	Africa		Homo sapiens	Kenya	Kenya		Githinji et al O				
MWI/MLW001048/2021	2021-02-01		B.1.351	ON099798	8.00	20H (Beta, V2)	Older	0.34	202105	Africa		Homo sapiens	Malawi	Malawi		Feasey et al E				
MWI/MLW001198/2021	2021-02-02		B.1.351	ON099906	8.00	20H (Beta, V2)	Older	0.35	202105	Africa		Homo sapiens	Malawi	Malawi		Feasey et al F				
MWI/MLW001045/2021	2021-01-14		B.1.351	ON099901	8.00	20H (Beta, V2)	Older	0.35	202102	Africa		Homo sapiens	Malawi	Malawi		Feasey et al G				
USA/OK-CDC-2-4177125/2021	2021-04-01		B.1.351	MZ004734	8.00	20H (Beta, V2)	Older	0.35	202113	North America		Homo sapiens	USA	Oklahoma		Sheth et al L				
MLI/UCRC68/2020	2020-03-18		B.1	MW474739	1.00	20A	Older	0.03	202012	Africa		Homo sapiens	Mali	Mali		Diarra et al B				
MAR/RMPS04/2020	2020-03-30		B.1	MT731327	1.00	20A	Older	0.03	202014	Africa		Homo sapiens	Morocco	Morocco		Laamarti et al E				
BEN/314/2020	2020-03-17		B.1	MT653082	1.00	20A	Older	0.01	202012	Africa		Homo sapiens	Benin	Benin		Sander et al E				
TUN/COV1663/2020	2020-04-01		B.1	MT499218	2.00	20A	Older	0.03	202014	Africa		Homo sapiens	Tunisia	Tunisia		Fares et al C				
BEN/1022/2020	2020-03-25		B.1	MT653075	1.00	20A	Older	-0.01	202013	Africa		Homo sapiens	Benin	Benin		Sander et al F				
GAB/5729_Gabon/2021	2021-06-02		B.1.620	OM732182	10.00	20A	Older	0.43	202122	Africa		Homo sapiens	Gabon	Gabon		Lekana-Douki et al B				
AUS/NT12/2020	2020-03-25		B.1	MT641657	1.00	20A	Older	0.03	202013	Oceania		Homo sapiens	Australia	Northern Territory		Caly et al K		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
GIN/C2/2020	2020-05-13		B.1	MZ622025	1.00	20A	Older	0.02	202020	Africa		Homo sapiens	Guinea	Guinea		Krasnov et al A				
GIN/C1/2020	2020-05-14		B.1	MZ619091	1.00	20A	Older	0.02	202020	Africa		Homo sapiens	Guinea	Guinea		Krasnov et al B				
FRA/IHUCOVID-039123-NovaE/2020	2020-12-08		B.1.221	ON275424	3.00	20A	Older	0.07	202050	Europe		Homo sapiens	France	France		Levasseur et al G				
Iceland/3069/2020	2021-01-01		B.1.221	OU163363	3.00	20A	Older	0.10	202053	Europe		Homo sapiens	Iceland	Iceland		Jonsson et al C		deCODE genetics	DECODE GENETICS	
OU077085	2020-11-26		B.1.221	OU077085	2.00	20A	Older	0.07	202048	Europe		Homo sapiens	Germany	North Rhine Westphalia		? A		Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf	Robert Koch Institute	
Feliscatus/BEL/BE-MG-0320/2020	2020-03-11		B.1	MT747438	1.00	20A	Older	0.03	202011	Europe		Felis catus	Belgium	Belgium		Garigliany et al				
UGA/MAKCHScov19/2020	2020-10-22		B.1.214	MZ287360	1.00	20A	Older	0.08	202043	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al H				
GAB/14808-28B_Gabon/2021	2021-03-08		B.1.214.3	OM732073	3.00	20A	Older	0.43	202110	Africa		Homo sapiens	Gabon	Gabon		Lekana-Douki et al C				
Liechtenstein/FL-Risch-2141207234/2021	2021-04-12		B.1	OU578728	3.00	20A	Older	0.23	202115	Europe		Homo sapiens	Liechtenstein	Liechtenstein		? D		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	
CAN/RIM-1/2020	2020-03-26		B.1.147	MW599736	1.00	20A	Older	0.03	202013	North America		Homo sapiens	Canada	Canada		Lupien et al				
USA/NJ-UW-755/2020	2020-07-07		B.1.139	MT795870	1.00	20A	Older	0.06	202028	North America		Homo sapiens	USA	New Jersey		Moreno et al H				
USA/OH-UW-921/2020	2020-07-12		B.1.139	MT846608	1.00	20A	Older	0.06	202029	North America		Homo sapiens	USA	Ohio		Moreno et al I				
USA/NE-CDC-LC0000092/2020	2020-12-24		B.1.565	MW634058	2.00	20A	Older	0.05	202052	North America		Homo sapiens	USA	Nebraska		Cook et al L				
USA/CO-QDX-3509/2020	2020-09-11		B.1.565	MW521672	1.00	20A	Older	0.05	202037	North America		Homo sapiens	USA	Colorado		Rosenthal et al AB				
USA/SD-SDPHL-0051/2020	2020-12-21		B.1.565	MW748207	1.00	20A	Older	0.05	202052	North America		Homo sapiens	USA	South Dakota		Carlson et al D		South Dakota Public Health Laboratory	South Dakota Department of Health	
NGA/BCVL-21958/2021	2021-01-26		B.1	OL601681	7.00	21D (Eta)	Older	0.36	202104	Africa		Homo sapiens	Nigeria	Oyo State		Lorenzo-Redondo et al B				
CAN/Eta_NML_P2/2021	2021-05-03		B.1.525	OM366052	8.00	21D (Eta)	Older	0.36	202118	North America		Homo sapiens	Canada	Canada		Audet et al A				
LBY/BTRCLibyaSARS-CoV-2WGS-15/2021	2021-02-25		B.1.525	MZ054871	6.00	21D (Eta)	Older	0.39	202108	Africa		Homo sapiens	Libya	Libya		Alhudiri et al A				
USA/IL-CDC-STM-000064761/2021	2021-04-27		B.1.525	MZ228470	7.00	21D (Eta)	Older	0.39	202117	North America		Homo sapiens	USA	Illinois		Howard et al Q				
TGO/nmimr-TG-SARS-CoV-2-TGS-052-21/2021	2021-02-20		B.1.525	MZ215670	7.00	21D (Eta)	Older	0.41	202107	Africa		Homo sapiens	Togo	Togo		Halatoko et al A				
MLI/MAL0113/2021	2021-03-31		B.1.525	OL601934	7.00	21D (Eta)	Older	0.39	202113	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al C				
NGA/BCVL-22773/2021	2021-02-03		B.1.525	OL601727	7.00	21D (Eta)	Older	0.33	202105	Africa		Homo sapiens	Nigeria	Oyo State		Lorenzo-Redondo et al D				
USA/FL-CDC-STM-000040161/2021	2021-03-19		B.1.525	MW963370	7.00	21D (Eta)	Older	0.42	202111	North America		Homo sapiens	USA	Florida		Howard et al R				
NGA/BCVL-22923/2021	2021-02-05		B.1.525	OL601738	7.00	21D (Eta)	Older	0.39	202105	Africa		Homo sapiens	Nigeria	Oyo State		Lorenzo-Redondo et al E				
MLI/MAL0133/2021	2021-04-04		B.1.525	OL601951	8.00	21D (Eta)	Older	0.39	202114	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al F				
GHA/nmimr-SARS-CoV-2-NTRA-21-36811/2021	2021-03-11		B.1.525	MZ350113	7.00	21D (Eta)	Older	0.39	202110	Africa		Homo sapiens	Ghana	Ghana		Adu et al A				
NGA/BCVL-24900/2021	2021-03-08		B.1.525	OL601850	7.00	21D (Eta)	Older	0.31	202110	Africa		Homo sapiens	Nigeria	Oyo State		Lorenzo-Redondo et al G				
TGO/nmimr-TG-SARS-CoV-2-TGS-060-21/2021	2021-02-25		B.1.525	MZ215674	7.00	21D (Eta)	Older	0.39	202108	Africa		Homo sapiens	Togo	Togo		Halatoko et al B				
MLI/MAL0120/2021	2021-03-31		B.1.525	OL601941	7.00	21D (Eta)	Older	0.42	202113	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al H				
MLI/MAL0141/2021	2021-07-29		B.1.525	OL601959	7.00	21D (Eta)	Older	0.40	202130	Africa		Homo sapiens	Mali	Sikasso Region		Lorenzo-Redondo et al I				
MLI/MAL0131/2021	2021-04-04		B.1.525	OL601949	7.00	21D (Eta)	Older	0.39	202114	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al J				
MLI/MAL0149/2021	2021-08-01		B.1.525	OL601964	8.00	21D (Eta)	Older	0.39	202131	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al K				
GHA/nmimr-SARS-CoV-2-TRA-21-6410/2021	2021-03-15		B.1.525	MZ150534	7.00	21D (Eta)	Older	0.40	202111	Africa		Homo sapiens	Ghana	Ghana		Adu et al B				
DJI/NAMRU3_A844/2021	2021-05-20		B.1.525	MZ970734	7.00	21D (Eta)	Older	0.42	202120	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al U				
MLI/MAL0115/2021	2021-03-31		B.1.525	OL601936	8.00	21D (Eta)	Older	0.39	202113	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al L				
MLI/MAL0134/2021	2021-08-30		B.1.525	OL601952	8.00	21D (Eta)	Older	0.39	202135	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al M				
MLI/MAL0132/2021	2021-04-04		B.1.525	OL601950	8.00	21D (Eta)	Older	0.39	202114	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al N				
FRA/IHUCOVID-005602-N2/2021	2021-04-17		B.1.525	ON286499	9.00	21D (Eta)	Older	0.39	202115	Europe		Homo sapiens	France	France		Levasseur et al H				
MLI/MAL0143/2021	2021-07-30		B.1.525	OL601961	8.00	21D (Eta)	Older	0.38	202130	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al O				
MLI/MAL0142/2021	2021-07-31		B.1.525	OL601960	8.00	21D (Eta)	Older	0.41	202130	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al P				
MLI/MAL0138/2021	2021-05-05		B.1.525	OL601956	8.00	21D (Eta)	Older	0.39	202118	Africa		Homo sapiens	Mali	Bamako		Lorenzo-Redondo et al Q				
England/CAMB-84769/2020	2020-02-28		B.1	FR996779	1.00	20A	Older	0.04	202009	Europe		Homo sapiens	United Kingdom	England		Meredith et al		Department of Pathology, University of Cambridge	Wellcome Sanger Institute	
PER/covper089/2020	2020-03-20		B.1	MW030225	1.00	20A	Older	0.01	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al J				
OU471447	2020-12-29		B.1	OU471447	2.00	20A	Older	0.05	202053	Europe		Homo sapiens	Italy	Friuli Venezia Giulia		Bazzocchi et al		ARGO Laboratorio Genomica ed Epigenomica	federica bazzocchi	
ZAF/R03006/2020	2020-03-07		B.1	MT324062	1.00	20A	Older	0.03	202010	Africa		Homo sapiens	South Africa	KwaZulu-Natal		Allam et al				
ITA/71205/2020	2020-02-26		B.1	MT479216	1.00	20A	Older	0.06	202009	Europe		Homo sapiens	Italy	Italy		Bagnarelli et al				
PER/covper034/2020	2020-05-04		B.1	MW030265	1.00	20A	Older	0.07	202019	South America		Homo sapiens	Peru	Peru		Juscamayta et al K				
PER/covper044/2020	2020-05-05		B.1	MW030275	1.00	20A	Older	0.06	202019	South America		Homo sapiens	Peru	Peru		Juscamayta et al L				
CHE/H1028/2020	2020-04-13		B.1	ON209832	1.00	20A	Older	0.06	202016	Europe		Homo sapiens	Switzerland	Switzerland		Abbas et al				
GAB/64L_Gabon/2020	2020-04-20		B.1	OM731979	1.00	20A	Older	0.06	202017	Africa		Homo sapiens	Gabon	Gabon		Lekana-Douki et al D				
GAB/88L_Gabon/2020	2020-04-20		B.1	OM731980	1.00	20A	Older	0.06	202017	Africa		Homo sapiens	Gabon	Gabon		Lekana-Douki et al E				
PER/covper030/2020	2020-05-02		B.1.205	MW030261	2.00	20A	Older	0.10	202018	South America		Homo sapiens	Peru	Peru		Juscamayta et al M				
PER/covper013/2020	2020-07-04		B.1.205	MW030244	2.00	20A	Older	0.10	202027	South America		Homo sapiens	Peru	Peru		Juscamayta et al N				
PER/covper035/2020	2020-05-04		B.1.205	MW030266	2.00	20A	Older	0.10	202019	South America		Homo sapiens	Peru	Peru		Juscamayta et al O				
PER/covper048/2020	2020-06-24		B.1.205	MW030279	2.00	20A	Older	0.12	202026	South America		Homo sapiens	Peru	Peru		Juscamayta et al P				
OU471346	2020-03-01		B.1	OU471346	1.00	20A	Older	0.03	202010	Europe		Homo sapiens	Italy	Friuli Venezia Giulia		Bazzocchi et al		ARGO Open Lab Platform for Genome sequencing	federica bazzocchi	
PER/covper073/2020	2020-03-17		B.1	MW030213	1.00	20A	Older	0.02	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al Q				
CHL/Santiago-op7d1/2020	2020-03-16		B.1.415	MW364967	1.00	20A	Older	0.03	202012	South America		Homo sapiens	Chile	Chile		Direct Submission et al I				
AUS/QLD935/2020	2020-03-25		B.1	MZ410587	1.00	20A	Older	0.02	202013	Oceania		Homo sapiens	Australia	Australia		Parry et al B				
RUS/5473/2020	2020-08-11		B.1	MW332241	7.00	20A	Older	0.22	202033	Europe		Homo sapiens	Russia	Saratov		Krasnov et al C				
USA/RI-CDC-03065076-001/2020	2020-03-01		B.1	MT304488	1.00	20A	Older	0.03	202010	North America		Homo sapiens	USA	Rhode Island		Queen et al Y				
VEN/17M/2020	2020-03-15		B.1	MT907519	1.00	20A	Older	0.02	202012	South America		Homo sapiens	Venezuela	Venezuela		Loureiro et al D				
ARG/Cordoba-189-251/2020	2020-05-16		B.1	MW553299	1.00	20A	Older	0.06	202020	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al J				
ARG/Cordoba-12712-61/2020	2020-06-04		B.1	MW553313	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al K				
ARG/Cordoba-2635-202/2020	2020-06-04		B.1	MW553294	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al L				
ARG/Cordoba-3734-24/2020	2020-06-04		B.1	MW553302	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al M				
ARG/Cordoba-1083-6/2020	2020-06-04		B.1	MW553296	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al N				
ARG/Cordoba-2842-202/2020	2020-06-04		B.1	MW553295	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al O				
ARG/Cordoba-586-147/2020	2020-06-04		B.1	MW553315	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al P				
ARG/Cordoba-11300-61/2020	2020-06-04		B.1	MW553301	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al Q				
ARG/Cordoba-11499-61/2020	2020-06-04		B.1	MW553316	1.00	20A	Older	0.05	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al R				
ARG/Cordoba-160-148/2020	2020-06-04		B.1	MW553310	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al S				
ARG/Cordoba-1006-155/2020	2020-06-04		B.1	MW553298	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al T				
ARG/Cordoba-12713-61/2020	2020-06-04		B.1	MW553318	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al U				
ARG/Cordoba-16232-61/2020	2020-06-04		B.1	MW553300	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al V				
ARG/Cordoba-969-155/2020	2020-06-04		B.1	MW553319	1.00	20A	Older	0.06	202023	South America		Homo sapiens	Argentina	Argentina		Direct Submission et al W				
CHL/Santiago-PUC_MVL_0411/2020	2020-05-13		B.1	MW365026	1.00	20A	Older	0.05	202020	South America		Homo sapiens	Chile	Chile		Direct Submission et al X				
CHL/Santiago-PUC_MVL_0281/2020	2020-04-30		B.1	MW365061	1.00	20A	Older	0.05	202018	South America		Homo sapiens	Chile	Chile		Direct Submission et al Y				
CHL/Santiago-PUC_MVL_0263/2020	2020-04-30		B.1	MW365472	1.00	20A	Older	0.05	202018	South America		Homo sapiens	Chile	Chile		Direct Submission et al Z				
MAR/Morocco_HMIMV_279CC/2020	2020-07-01		B.1	MW582699	2.00	20A	Older	0.00	202027	Africa		Homo sapiens	Morocco	Morocco		Touil et al				
OU702714	2020-12-02		B.1	OU702714	2.00	20A	Older	0.07	202049	Europe		Homo sapiens	Poland	Mazowieckie		? E		Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji, Warszawa	COVID-HUB-PL	
Liechtenstein/UHB-4168696501/2020	2020-11-16		B.1.258.17	OU282399	4.00	20A	Older	0.13	202047	Europe		Homo sapiens	Liechtenstein	Mauren		? F		Labormedizinisches Zentrum Dr Risch, Liebefeld, Switzerland	University Hospital Basel	
